Jurisdictions,Consumer_notification_days,Consumer_notification_days_effective,AG_notification_days,AG_notification_days_effective,CRA_notification_days,CRA_notification_days_effective
Alabama,45,6/1/2018,45,6/1/2018,without unreasonable delay,NA
"Alaska

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Arizona

",45,8/3/2018,45,8/3/2018,45,8/3/2018
"Arkansas

",without unreasonable delay,NA,45,7/23/2019,NA,NA
"California

",without unreasonable delay,NA,Unspecified,NA,NA,NA
"Colorado

",30,9/1/2018,30,9/1/2018,without unreasonable delay,NA
"Connecticut

",60,10/1/2021,60,10/1/2021,NA,NA
"Delaware

",60,4/14/2018,60,4/14/2018,NA,NA
"District of Columbia

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"Florida

",30,7/1/2014,30,7/1/2014,without unreasonable delay,NA
"Georgia

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Guam

",without unreasonable delay,NA,NA,NA,NA,NA
"Hawaii

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"Idaho

",without unreasonable delay,NA,1,7/1/2010,NA,NA
"Illinois

",without unreasonable delay,NA,45,1/1/2017,without unreasonable delay,NA
"Indiana

",Unspecified,NA,Unspecified,NA,Unspecified,NA
"Iowa

",without unreasonable delay,NA,without unreasonable delay,NA,NA,NA
"Kansas

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Kentucky

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Louisiana

",60,8/1/2018,70,8/1/2018,NA,NA
"Maine

",30,9/19/2019,Unknown,NA,without unreasonable delay,NA
"Maryland

",45,1/1/2018,45,1/1/2018,without unreasonable delay,NA
"Massachusetts

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"Michigan

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Minnesota

",without unreasonable delay,NA,NA,NA,2,1/1/2006
"Mississippi

",without unreasonable delay,NA,NA,NA,NA,NA
"Missouri

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"Montana

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"Nebraska

",without unreasonable delay,NA,without unreasonable delay,NA,NA,NA
"Nevada

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"New Hampshire

",as soon as possible,NA,as quickly as possible,NA,without unreasonable delay,NA
"New Jersey

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"New Mexico

",45,6/16/2017,45,6/16/2017,45,6/16/2017
"New York

",without unreasonable delay,NA,Unspecified,NA,Unspecified,NA
"North Carolina

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"North Dakota

",without unreasonable delay,NA,without unreasonable delay,NA,NA,NA
"Ohio

",45,2/17/2006,NA,NA,without unreasonable delay,NA
"Oklahoma

",without unreasonable delay,NA,NA,NA,NA,NA
"Oregon

",45,6/2/2018,45,6/2/2018,without unreasonable delay,NA
"Pennsylvania

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Puerto Rico

",as expeditiously as possible,NA,10,1/5/2006,NA,NA
"Rhode Island

",45,6/26/2016,45,6/26/2016,45,6/26/2016
"South Carolina

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"South Dakota

",60,7/1/2018,60,7/1/2018,without unreasonable delay,NA
"Tennessee

",45,7/1/2016,NA,NA,without unreasonable delay,NA
"Texas

",60,1/1/2020,60,1/1/2020,without unreasonable delay,NA
"U.S. Virgin Islands

",without unreasonable delay,NA,NA,NA,NA,NA
"Utah

",without unreasonable delay,NA,NA,NA,NA,NA
"Vermont

",45,5/8/2012,14,5/8/2012,without unreasonable delay,NA
"Virginia

",without unreasonable delay,NA,without unreasonable delay,NA,without unreasonable delay,NA
"Washington

",30,3/1/2020,30,3/1/2020,NA,NA
"West Virginia

",without unreasonable delay,NA,NA,NA,without unreasonable delay,NA
"Wisconsin

",45,3/31/2006,NA,NA,45,3/31/2006
"Wyoming

",without unreasonable delay,NA,NA,NA,NA,NA
